assembly_id	label	taxid	uniq_SCG_hits	perc_comp	perc_redund	domain	phylum	class	order	family	genus	specific_name
GCF_000092405.1	GCF_000092405.1_Bacteria_Firmicutes_Clostridia_Syntrophothermus_lipocalidus_DSM_12680	643648	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Syntrophomonadaceae	Syntrophothermus	Syntrophothermus lipocalidus
GCF_000092425.1	GCF_000092425.1_Bacteria_Deinococcus-Thermus_Deinococci_Truepera_radiovictrix_DSM_17093	649638	14	93.33	0.00	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	Truepera radiovictrix
GCF_000092505.1	GCF_000092505.1_Bacteria_Firmicutes_Bacilli_Leuconostoc_kimchii_IMSNU_11154	762051	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc kimchii
GCF_000092585.1	GCF_000092585.1_Bacteria_Tenericutes_Mollicutes_Mycoplasma_gallisepticum_R	710127	14	93.33	0.00	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma gallisepticum
GCF_000092645.1	GCF_000092645.1_Bacteria_Actinobacteria_NA_Thermobispora_bispora_DSM_43833	469371	14	93.33	0.00	Bacteria	Actinobacteria	NA	NA	NA	Thermobispora	Thermobispora bispora
GCF_000092785.1	GCF_000092785.1_Bacteria_Chlamydiae_Chlamydiia_Waddlia_chondrophila_WSU_86-1044	716544	14	93.33	0.00	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Waddliaceae	Waddlia	Waddlia chondrophila
GCF_000092825.1	GCF_000092825.1_Bacteria_Actinobacteria_NA_Segniliparus_rotundus_DSM_44985	640132	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Segniliparaceae	Segniliparus	Segniliparus rotundus
GCF_000092845.1	GCF_000092845.1_Bacteria_Spirochaetes_Spirochaetia_Brachyspira_murdochii_DSM_12563	526224	14	93.33	0.00	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira murdochii
GCF_000092865.1	GCF_000092865.1_Bacteria_Actinobacteria_NA_Cellulomonas_flavigena_DSM_20109	446466	14	93.33	0.00	Bacteria	Actinobacteria	NA	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas flavigena
GCF_000092905.1	GCF_000092905.1_Bacteria_Firmicutes_Bacilli_Kyrpidia_tusciae_DSM_2912	562970	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Kyrpidia	Kyrpidia tusciae
GCF_000092925.1	GCF_000092925.1_Bacteria_Proteobacteria_Alphaproteobacteria_Starkeya_novella_DSM_506	639283	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Starkeya	Starkeya novella
GCF_000092985.1	GCF_000092985.1_Bacteria_Actinobacteria_NA_Nocardiopsis_dassonvillei_DSM_43111	446468	14	93.33	0.00	Bacteria	Actinobacteria	NA	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis dassonvillei
GCF_000093025.1	GCF_000093025.1_Bacteria_Proteobacteria_Betaproteobacteria_Methylotenera_versatilis_301	666681	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylotenera	Methylotenera versatilis
GCF_000093085.1	GCF_000093085.1_Bacteria_Firmicutes_Bacilli_Bacillus_selenitireducens_MLS10	439292	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	NA	[Bacillus] selenitireducens
GCF_000143085.1	GCF_000143085.1_Bacteria_Proteobacteria_Gammaproteobacteria_Nitrosococcus_watsonii_C-113	105559	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus watsonii
GCF_000143145.1	GCF_000143145.1_Bacteria_Proteobacteria_Alphaproteobacteria_Hyphomicrobium_denitrificans_ATCC_51888	582899	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium denitrificans
GCF_000143165.1	GCF_000143165.1_Bacteria_Chloroflexi_Dehalococcoidia_Dehalogenimonas_lykanthroporepellens_BL-DC-9	552811	14	93.33	0.00	Bacteria	Chloroflexi	Dehalococcoidia	NA	NA	Dehalogenimonas	Dehalogenimonas lykanthroporepellens
GCF_000143535.2	GCF_000143535.2_Eukaryota_Ascomycota_Leotiomycetes_Botrytis_cinerea_B05.10	332648	14	93.33	86.67	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea
GCF_000143845.1	GCF_000143845.1_Bacteria_Actinobacteria_Coriobacteriia_Olsenella_uli_DSM_7084	633147	14	93.33	0.00	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella uli
GCF_000143965.1	GCF_000143965.1_Bacteria_Proteobacteria_Deltaproteobacteria_Desulfarculus_baarsii_DSM_2075	644282	14	93.33	0.00	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus	Desulfarculus baarsii
GCF_000143985.1	GCF_000143985.1_Bacteria_Spirochaetes_Spirochaetia_Sediminispirochaeta_smaragdinae_DSM_11293	573413	14	93.33	0.00	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	Sediminispirochaeta smaragdinae
GCF_000144605.1	GCF_000144605.1_Bacteria_Proteobacteria_Alphaproteobacteria_Brevundimonas_subvibrioides_ATCC_15264	633149	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas subvibrioides
GCF_000144625.1	GCF_000144625.1_Bacteria_Firmicutes_Clostridia_Clostridium_saccharolyticum_WM1	610130	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] saccharolyticum
GCF_000144645.1	GCF_000144645.1_Bacteria_Firmicutes_Clostridia_Thermosediminibacter_oceani_DSM_16646	555079	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermosediminibacter	Thermosediminibacter oceani
GCF_000144675.1	GCF_000144675.1_Bacteria_Actinobacteria_NA_Corynebacterium_pseudotuberculosis_C231	681645	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudotuberculosis
GCF_000144695.1	GCF_000144695.1_Bacteria_Firmicutes_Clostridia_Acetohalobium_arabaticum_DSM_5501	574087	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium arabaticum
GCF_000144915.1	GCF_000144915.1_Archaea_Crenarchaeota_Thermoprotei_Acidilobus_saccharovorans_345-15	666510	14	93.33	0.00	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans
GCF_000145035.1	GCF_000145035.1_Bacteria_Firmicutes_Clostridia_Butyrivibrio_proteoclasticus_B316	515622	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio proteoclasticus
GCF_000145235.1	GCF_000145235.1_Bacteria_Actinobacteria_NA_Micromonospora_aurantiaca_ATCC_27029	644283	14	93.33	0.00	Bacteria	Actinobacteria	NA	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora aurantiaca
GCF_000145255.1	GCF_000145255.1_Bacteria_Proteobacteria_Betaproteobacteria_Gallionella_capsiferriformans_ES-2	395494	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella	Gallionella capsiferriformans
GCF_000145275.1	GCF_000145275.1_Bacteria_Firmicutes_Clostridia_Clostridium_cellulovorans_743B	573061	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium cellulovorans
GCF_000145295.1	GCF_000145295.1_Archaea_Euryarchaeota_Methanobacteria_Methanothermobacter_marburgensis_Marburg	79929	14	93.33	0.00	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter marburgensis
GCF_000145615.1	GCF_000145615.1_Bacteria_Firmicutes_Clostridia_Thermoanaerobacterium_thermosaccharolyticum_DSM_571	580327	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium	Thermoanaerobacterium thermosaccharolyticum
GCF_000146185.1	GCF_000146185.1_Bacteria_Firmicutes_Clostridia_Eubacterium_eligens_ATCC_27750	515620	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	[Eubacterium] eligens
GCF_000146505.1	GCF_000146505.1_Bacteria_Fibrobacteres_Fibrobacteria_Fibrobacter_succinogenes_S85	59374	14	93.33	0.00	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes
GCF_000147355.1	GCF_000147355.1_Bacteria_Proteobacteria_Epsilonproteobacteria_Sulfurimonas_autotrophica_DSM_16294	563040	14	93.33	0.00	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas	Sulfurimonas autotrophica
GCF_000147695.2	GCF_000147695.2_Bacteria_Firmicutes_Clostridia_Thermoanaerobacter_wiegelii_Rt8.B1	697303	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter wiegelii
GCF_000147715.2	GCF_000147715.2_Bacteria_Thermotogae_NA_Mesotoga_prima_MesG1.Ag.4.2	660470	14	93.33	0.00	Bacteria	Thermotogae	NA	Kosmotogales	Kosmotogaceae	Mesotoga	Mesotoga prima
GCF_000147835.2	GCF_000147835.2_Bacteria_Proteobacteria_Alphaproteobacteria_Sphingobium_chlorophenolicum_L-1	690566	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium chlorophenolicum
GCF_000148645.1	GCF_000148645.1_Bacteria_Proteobacteria_Gammaproteobacteria_Ferrimonas_balearica_DSM_9799	550540	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Ferrimonadaceae	Ferrimonas	Ferrimonas balearica
GCF_000151105.2	GCF_000151105.2_Archaea_Euryarchaeota_Thermococci_Thermococcus_barophilus_MP	391623	14	93.33	0.00	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus
GCF_000152265.2	GCF_000152265.2_Archaea_Euryarchaeota_Thermoplasmata_Ferroplasma_acidarmanus_fer1	333146	13	86.67	0.00	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus
GCF_000152825.2	GCF_000152825.2_Bacteria_Proteobacteria_Alphaproteobacteria_Parvularcula_bermudensis_HTCC2503	314260	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae	Parvularcula	Parvularcula bermudensis
GCF_000153485.2	GCF_000153485.2_Bacteria_Bacteroidetes_Flavobacteriia_Psychroflexus_torquis_ATCC_700755	313595	14	93.33	0.00	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus torquis
GCF_000154785.2	GCF_000154785.2_Bacteria_Proteobacteria_Alphaproteobacteria_Roseobacter_litoralis_Och_149	391595	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	Roseobacter litoralis
GCF_000155735.2	GCF_000155735.2_Bacteria_Proteobacteria_Alphaproteobacteria_Octadecabacter_arcticus_238	391616	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	Octadecabacter arcticus
GCF_000157355.2	GCF_000157355.2_Bacteria_Firmicutes_Bacilli_Enterococcus_casseliflavus_EC20	565655	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus
GCF_000157895.3	GCF_000157895.3_Bacteria_Actinobacteria_NA_Mycobacterium_kansasii_ATCC_12478	557599	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kansasii
GCF_000158275.2	GCF_000158275.2_Bacteria_Fusobacteria_Fusobacteriia_Fusobacterium_nucleatum_7_1	457405	13	86.67	0.00	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
GCF_000163895.2	GCF_000163895.2_Bacteria_Firmicutes_Clostridia_Filifactor_alocis_ATCC_35896	546269	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor	Filifactor alocis
GCF_000164675.2	GCF_000164675.2_Bacteria_Firmicutes_Bacilli_Streptococcus_parasanguinis_ATCC_15912	760570	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis
GCF_000164695.2	GCF_000164695.2_Bacteria_Actinobacteria_NA_Rothia_dentocariosa_ATCC_17931	762948	14	93.33	0.00	Bacteria	Actinobacteria	NA	Micrococcales	Micrococcaceae	Rothia	Rothia dentocariosa
GCF_000164865.1	GCF_000164865.1_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacter_lignolyticus_SCF1	701347	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pluralibacter	[Enterobacter] lignolyticus
GCF_000164985.3	GCF_000164985.3_Bacteria_Firmicutes_Bacilli_Paenibacillus_polymyxa_SC2	886882	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus polymyxa
GCF_000165465.1	GCF_000165465.1_Bacteria_Firmicutes_Clostridia_Halanaerobium_praevalens_DSM_2228	572479	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium	Halanaerobium praevalens
GCF_000165485.1	GCF_000165485.1_Bacteria_Proteobacteria_Deltaproteobacteria_Stigmatella_aurantiaca_DW4_3-1	378806	14	93.33	0.00	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
GCF_000165505.1	GCF_000165505.1_Bacteria_Fusobacteria_Fusobacteriia_Ilyobacter_polytropus_DSM_2926	572544	14	93.33	0.00	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	Ilyobacter polytropus
GCF_000165715.2	GCF_000165715.2_Bacteria_Planctomycetes_Planctomycetia_Rubinisphaera_brasiliensis_DSM_5305	756272	14	93.33	0.00	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera brasiliensis
GCF_000166055.1	GCF_000166055.1_Bacteria_Proteobacteria_Alphaproteobacteria_Rhodomicrobium_vannielii_ATCC_17100	648757	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium	Rhodomicrobium vannielii
GCF_000166095.1	GCF_000166095.1_Archaea_Euryarchaeota_Methanobacteria_Methanothermus_fervidus_DSM_2088	523846	14	93.33	0.00	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus
GCF_000166135.1	GCF_000166135.1_Bacteria_Actinobacteria_NA_Frankia_inefficax_EuI1c	298654	14	93.33	0.00	Bacteria	Actinobacteria	NA	Frankiales	Frankiaceae	Frankia	Frankia inefficax
GCF_000166395.1	GCF_000166395.1_Bacteria_Bacteroidetes_Cytophagia_Leadbetterella_byssophila_DSM_17132	649349	14	93.33	0.00	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Leadbetterella	Leadbetterella byssophila
GCF_000172635.2	GCF_000172635.2_Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonas_macleodii_ATCC_27126	529120	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii
GCF_000172995.2	GCF_000172995.2_Archaea_Euryarchaeota_Halobacteria_Halogeometricum_borinquense_PR_3	469382	14	93.33	6.67	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense
GCF_000175215.2	GCF_000175215.2_Bacteria_Proteobacteria_Alphaproteobacteria_Asticcacaulis_excentricus_CB_48	573065	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	Asticcacaulis excentricus
GCF_000175255.2	GCF_000175255.2_Bacteria_Proteobacteria_Alphaproteobacteria_Zymomonas_mobilis_ATCC_10988	555217	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis
GCF_000175575.2	GCF_000175575.2_Bacteria_Proteobacteria_Acidithiobacillia_Acidithiobacillus_caldus_ATCC_51756	637389	14	93.33	0.00	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus caldus
GCF_000176855.2	GCF_000176855.2_Bacteria_Proteobacteria_Betaproteobacteria_Acidovorax_avenae_ATCC_19860	643561	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax avenae
GCF_000176915.2	GCF_000176915.2_Bacteria_Proteobacteria_Deltaproteobacteria_Pseudodesulfovibrio_aespoeensis_Aspo-2	643562	14	93.33	0.00	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio	Pseudodesulfovibrio aespoeensis
GCF_000177235.2	GCF_000177235.2_Bacteria_Firmicutes_Bacilli_Bacillus_cellulosilyticus_DSM_2522	649639	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cellulosilyticus
GCF_000177535.2	GCF_000177535.2_Bacteria_Actinobacteria_NA_Corynebacterium_resistens_DSM_45100	662755	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium resistens
GCF_000177615.2	GCF_000177615.2_Bacteria_Actinobacteria_NA_Frankia_symbiont_of_Datisca_glomerata_4085684	656024	14	93.33	0.00	Bacteria	Actinobacteria	NA	Frankiales	Frankiaceae	Frankia	Frankia symbiont of Datisca glomerata
GCF_000177635.2	GCF_000177635.2_Bacteria_Chrysiogenetes_NA_Desulfurispirillum_indicum_S5	653733	14	93.33	0.00	Bacteria	Chrysiogenetes	NA	Chrysiogenales	Chrysiogenaceae	Desulfurispirillum	Desulfurispirillum indicum
GCF_000178115.2	GCF_000178115.2_Bacteria_Firmicutes_Clostridia_Ethanoligenens_harbinense_YUAN-3	663278	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ethanoligenens	Ethanoligenens harbinense
GCF_000178835.2	GCF_000178835.2_Bacteria_Firmicutes_Clostridia_Cellulosilyticum_lentocellum_DSM_5427	642492	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum	Cellulosilyticum lentocellum
GCF_000178875.2	GCF_000178875.2_Bacteria_Proteobacteria_Gammaproteobacteria_Shewanella_baltica_OS678	693973	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica
GCF_000178955.2	GCF_000178955.2_Bacteria_Acidobacteria_Acidobacteriia_Granulicella_mallensis_MP5ACTX8	682795	14	93.33	0.00	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella mallensis
GCF_000178975.2	GCF_000178975.2_Bacteria_Acidobacteria_Acidobacteriia_Granulicella_tundricola_MP5ACTX9	1198114	14	93.33	0.00	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
GCF_000179035.2	GCF_000179035.2_Bacteria_Tenericutes_Mollicutes_Mycoplasma_suis_Illinois	768700	14	93.33	0.00	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma suis
GCF_000179395.2	GCF_000179395.2_Bacteria_Actinobacteria_NA_Corynebacterium_variabile_DSM_44702	858619	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium variabile
GCF_000179575.2	GCF_000179575.2_Archaea_Euryarchaeota_Methanococci_Methanothermococcus_okinawensis_IH1	647113	14	93.33	0.00	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus okinawensis
GCF_000179635.2	GCF_000179635.2_Bacteria_Firmicutes_Clostridia_Ruminococcus_albus_7	697329	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus albus
GCF_000179915.2	GCF_000179915.2_Bacteria_Acidobacteria_Acidobacteriia_Terriglobus_saanensis_SP1PR4	401053	14	93.33	0.00	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus saanensis
GCF_000182745.2	GCF_000182745.2_Bacteria_Proteobacteria_Alphaproteobacteria_Komagataeibacter_medellinensis_NBRC_3288	634177	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter medellinensis
GCF_000183135.1	GCF_000183135.1_Bacteria_Bacteroidetes_Bacteroidia_Paludibacter_propionicigenes_WB4	694427	14	93.33	0.00	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Paludibacter propionicigenes
GCF_000183385.1	GCF_000183385.1_Bacteria_Tenericutes_Mollicutes_Mycoplasma_bovis_PG45	289397	14	93.33	0.00	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma bovis
GCF_000183405.1	GCF_000183405.1_Bacteria_Deferribacteres_NA_Calditerrivibrio_nitroreducens_DSM_19672	768670	14	93.33	0.00	Bacteria	Deferribacteres	NA	Deferribacterales	Deferribacteraceae	Calditerrivibrio	Calditerrivibrio nitroreducens
GCF_000183425.1	GCF_000183425.1_Bacteria_Bacteroidetes_Cytophagia_Marivirga_tractuosa_DSM_4126	643867	14	93.33	0.00	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marivirga	Marivirga tractuosa
GCF_000183725.1	GCF_000183725.1_Bacteria_Proteobacteria_Epsilonproteobacteria_Sulfuricurvum_kujiense_DSM_16994	709032	14	93.33	0.00	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Sulfuricurvum kujiense
GCF_000183745.1	GCF_000183745.1_Bacteria_Deinococcus-Thermus_Deinococci_Oceanithermus_profundus_DSM_14977	670487	14	93.33	0.00	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Oceanithermus	Oceanithermus profundus
GCF_000184345.1	GCF_000184345.1_Bacteria_Spirochaetes_Spirochaetia_Spirochaeta_thermophila_DSM_6578	869211	14	93.33	0.00	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta thermophila
GCF_000184435.1	GCF_000184435.1_Bacteria_Actinobacteria_NA_Mycolicibacterium_gilvum_Spyr1	278137	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium gilvum
GCF_000184685.1	GCF_000184685.1_Bacteria_Actinobacteria_NA_Intrasporangium_calvum_DSM_43043	710696	14	93.33	0.00	Bacteria	Actinobacteria	NA	Micrococcales	Intrasporangiaceae	Intrasporangium	Intrasporangium calvum
GCF_000184705.1	GCF_000184705.1_Bacteria_Firmicutes_Clostridia_Thermaerobacter_marianensis_DSM_12885	644966	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Thermaerobacter	Thermaerobacter marianensis
GCF_000184745.1	GCF_000184745.1_Bacteria_Proteobacteria_Betaproteobacteria_Variovorax_paradoxus_EPS	595537	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus
GCF_000185805.1	GCF_000185805.1_Bacteria_Aquificae_NA_Thermovibrio_ammonificans_HB-1	648996	14	93.33	0.00	Bacteria	Aquificae	NA	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	Thermovibrio ammonificans
GCF_000185885.1	GCF_000185885.1_Bacteria_Firmicutes_Bacilli_Staphylococcus_pseudintermedius_HKU10-03	937773	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius
GCF_000185965.1	GCF_000185965.1_Bacteria_Proteobacteria_Gammaproteobacteria_Pseudoxanthomonas_suwonensis_11-1	743721	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas suwonensis
GCF_000186005.1	GCF_000186005.1_Bacteria_Tenericutes_Mollicutes_Mycoplasma_fermentans_M64	943945	14	93.33	0.00	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma fermentans
GCF_000186245.1	GCF_000186245.1_Bacteria_Proteobacteria_Epsilonproteobacteria_Nitratifractor_salsuginis_DSM_16511	749222	13	86.67	0.00	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	NA	Nitratifractor	Nitratifractor salsuginis
GCF_000186265.1	GCF_000186265.1_Bacteria_Bacteroidetes_Flavobacteriia_Cellulophaga_algicola_DSM_14237	688270	14	93.33	0.00	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola
GCF_000186345.1	GCF_000186345.1_Bacteria_Planctomycetes_Planctomycetia_Isosphaera_pallida_ATCC_43644	575540	14	93.33	0.00	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Isosphaera	Isosphaera pallida
GCF_000186365.1	GCF_000186365.1_Archaea_Crenarchaeota_Thermoprotei_Desulfurococcus_mucosus_DSM_2162	765177	14	93.33	0.00	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus
